Team,W-L,Total DVOA Rank,Total DVOA,Weighted DVOA Rank,Weighted DVOA,Offense DVOA Rank,Offense DVOA,Offense Weighted DVOA Rank,Offense Weighted DVOA,Defense DVOA Rank,Defense DVOA,Defense Weighted DVOA Rank,Defense Weighted DVOA,Special Teams DVOA Rank,Special Teams DVOA,Special Teams Weighted DVOA Rank,Special Teams Weighted DVOA
NO,12-4,1,33.3%,2,34.4%,7,10.7%,7,9.4%,2,-19.0%,2,-21.7%,5,3.6%,8,3.2%
TB,11-5,2,31.5%,3,33.6%,3,19.8%,2,24.6%,5,-14.6%,6,-12.0%,26,-2.9%,26,-3.0%
GB,13-3,3,25.8%,4,31.4%,1,29.1%,1,31.6%,17,0.5%,14,-3.5%,25,-2.7%,28,-3.8%
BUF,13-3,4,23.8%,1,34.5%,5,15.6%,5,17.8%,12,-2.2%,8,-8.0%,4,5.9%,2,8.7%
SEA,12-4,5,20.1%,5,22.0%,6,13.7%,6,9.6%,16,0.4%,11,-5.2%,3,6.8%,3,7.2%
KC,14-2,6,19.6%,6,19.5%,2,23.9%,3,23.4%,22,4.9%,24,6.6%,17,0.5%,11,2.6%
BAL,11-5,7,18.5%,7,15.7%,11,4.3%,9,7.2%,9,-6.9%,15,-2.6%,2,7.4%,4,5.9%
PIT,12-4,8,16.8%,10,13.4%,22,-4.7%,22,-7.9%,1,-20.2%,4,-20.0%,14,1.3%,14,1.4%
LAR,10-6,9,15.4%,8,14.1%,10,4.4%,17,-4.8%,4,-17.0%,1,-24.2%,30,-6.0%,29,-5.3%
IND,11-5,10,14.2%,9,13.5%,12,2.7%,10,6.4%,7,-9.5%,10,-6.0%,10,2.0%,15,1.0%
SF,6-10,11,5.4%,11,4.3%,20,-2.5%,20,-6.5%,6,-9.9%,5,-13.8%,23,-2.1%,27,-3.0%
MIA,10-6,12,4.6%,14,3.6%,18,-2.1%,18,-5.2%,11,-3.3%,9,-8.0%,6,3.3%,17,0.7%
ARI,8-8,13,3.6%,16,1.2%,19,-2.4%,23,-8.1%,10,-6.6%,7,-9.1%,19,-0.6%,18,0.3%
TEN,11-5,14,2.5%,12,4.2%,4,18.4%,4,19.1%,29,11.5%,29,12.2%,28,-4.4%,25,-2.6%
CHI,8-8,15,-0.6%,15,1.7%,25,-10.6%,21,-6.7%,8,-7.5%,13,-3.8%,8,2.6%,6,4.7%
WAS,7-9,16,-2.3%,13,3.6%,32,-21.8%,32,-20.7%,3,-18.4%,3,-21.0%,15,1.1%,7,3.4%
ATL,4-12,17,-3.6%,17,0.2%,21,-3.1%,16,-4.3%,14,-0.2%,12,-4.4%,20,-0.7%,19,0.1%
CLE,11-5,18,-5.7%,18,-0.8%,9,5.4%,8,8.1%,25,7.4%,25,7.0%,27,-3.7%,23,-1.9%
LV,8-8,19,-6.2%,20,-10.0%,14,1.8%,15,-3.9%,28,9.6%,28,8.9%,13,1.6%,10,2.9%
MIN,7-9,20,-6.4%,24,-13.0%,8,6.3%,11,6.0%,18,3.4%,26,7.8%,31,-9.4%,31,-11.2%
CAR,5-11,21,-6.7%,21,-10.0%,17,-0.2%,19,-5.7%,24,7.3%,22,5.8%,16,0.8%,13,1.5%
NE,7-9,22,-7.1%,19,-7.7%,23,-7.3%,26,-13.2%,26,7.9%,23,6.3%,1,8.1%,1,11.8%
DAL,6-10,23,-11.1%,22,-10.9%,24,-8.5%,25,-11.3%,23,6.0%,20,4.9%,7,3.3%,5,5.3%
HOU,4-12,24,-12.6%,25,-15.7%,13,2.7%,12,2.5%,30,14.3%,31,17.0%,21,-1.0%,22,-1.2%
NYG,6-10,25,-13.8%,23,-11.8%,26,-11.8%,24,-11.1%,19,3.7%,17,0.8%,12,1.8%,20,0.1%
LAC,7-9,26,-14.7%,27,-17.4%,15,1.5%,13,0.0%,20,4.4%,21,5.0%,32,-11.8%,32,-12.4%
DET,5-11,27,-15.7%,29,-21.0%,16,0.0%,14,-2.3%,32,17.7%,32,21.3%,11,1.9%,12,2.6%
PHI,4-11-1,28,-18.8%,26,-16.5%,28,-17.0%,27,-16.9%,15,0.2%,16,-2.5%,22,-1.6%,24,-2.1%
DEN,5-11,29,-21.9%,28,-20.5%,30,-20.0%,29,-18.0%,13,-0.2%,18,1.6%,24,-2.1%,21,-0.9%
CIN,4-11-1,30,-24.7%,30,-23.7%,29,-18.2%,28,-17.9%,27,9.1%,27,8.9%,9,2.6%,9,3.1%
JAX,1-15,31,-28.0%,32,-32.7%,27,-12.6%,30,-19.3%,31,15.2%,30,14.4%,18,-0.1%,16,1.0%
NYJ,2-14,32,-30.5%,31,-30.0%,31,-20.5%,31,-19.7%,21,4.7%,19,4.8%,29,-5.3%,30,-5.5%

